Your comment line - do NOT delete this line
Col 0: Axis index
Col 1: S_path [m]
Col 2: Max voltage X-pos[m]
Col 3: Max voltage Y-pos[m]
Col 4: Max voltage [V]
Col 5: Full width half maximum (FWHM) [m]

Col 0	Col 1	Col 2	Col 3	Col 4	Col 5
8	0.00302276899562	0.0001	-0.0018	0.000248613	0
9	0.00306188852706	0.0001	-0.0018999	0.000248017	0
10	0.00420521657295	-0.0011	-0.0019999	0.000244262	0
11	0.00425807199581	-0.001	-0.0020999	0.000235499	0.00409928737223
12	0.00466532629654	-0.0014	-0.0022	0.000217916	0
13	0.00573037612087	-0.0002	-0.0022999	0.000234486	0.00378127444262
0	0.0	0.0007	-0.001	0.00035459	0
1	0.000230693796951	0.001	-0.0010999	0.000355544	0
2	0.000363357117017	0.0009	-0.0011999	0.000341894	0
3	0.000586891092211	0.0007	-0.0013	0.000313165	0.00351579729212
4	0.000817543054663	0.001	-0.0014	0.000290753	0.00354476873156
5	0.00231259684967	-0.0006	-0.0014999	0.000286939	0.00350506486574
6	0.00235443134911	-0.0006	-0.0015999	0.000277938	0
7	0.00239626584854	-0.0006	-0.0016999	0.000258865	0
8	0.00299019125901	0.0001	-0.0018	0.000248613	0
9	0.00303198392395	0.0001	-0.0018999	0.000248017	0
10	0.00416376427094	-0.0011	-0.0019999	0.000244262	0
11	0.00421275859213	-0.001	-0.0020999	0.000235499	0.00409928737223
12	0.00461795020858	-0.0014	-0.0022	0.000217916	0
13	0.0056661033912	-0.0002	-0.0022999	0.000234486	0.00378127444262
14	0.00579876671126	-0.0003	-0.0023999	0.000237585	0
0	0.0	0.0007	-0.001	0.00035459	0
1	0.000224193236288	0.001	-0.0010999	0.000355544	0
2	0.000358248401417	0.0009	-0.0011999	0.000341894	0
3	0.000581899045043	0.0007	-0.0013	0.000313165	0.00351579729212
4	0.000806047777139	0.001	-0.0014	0.000290753	0.00354476873156
5	0.00228332305267	-0.0006	-0.0014999	0.000286939	0.00350506486574
6	0.0023278272435	-0.0006	-0.0015999	0.000277938	0
7	0.00237233143432	-0.0006	-0.0016999	0.000258865	0
8	0.00295463955945	0.0001	-0.0018	0.000248613	0
9	0.00299909924608	0.0001	-0.0018999	0.000248017	0
10	0.00411821512858	-0.0011	-0.0019999	0.000244262	0
11	0.00416326191207	-0.001	-0.0020999	0.000235499	0.00409928737223
12	0.0045660145043	-0.0014	-0.0022	0.000217916	0
13	0.00559616650935	-0.0002	-0.0022999	0.000234486	0.00378127444262
14	0.00573022167448	-0.0003	-0.0023999	0.000237585	0
15	0.00577522395377	-0.0002	-0.0025	0.000250401	0
0	0.0	0.0007	-0.001	0.00035459	0
1	0.000215544325691	0.001	-0.0010999	0.000355544	0
2	0.00035121685671	0.0009	-0.0011999	0.000341894	0
3	0.000574729512122	0.0007	-0.0013	0.000313165	0.00351579729212
4	0.000790225957526	0.001	-0.0014	0.000290753	0.00354476873156
5	0.00224273426985	-0.0006	-0.0014999	0.000286939	0.00350506486574
6	0.00229061455676	-0.0006	-0.0015999	0.000277938	0
7	0.00233849484367	-0.0006	-0.0016999	0.000258865	0
8	0.00290511238521	0.0001	-0.0018	0.000248613	0
9	0.00295294479184	0.0001	-0.0018999	0.000248017	0
10	0.00405433200802	-0.0011	-0.0019999	0.000244262	0
11	0.00409424396521	-0.001	-0.0020999	0.000235499	0.00409928737223
12	0.00449334110884	-0.0014	-0.0022	0.000217916	0
13	0.00549901563148	-0.0002	-0.0022999	0.000234486	0.00378127444262
14	0.0056346881625	-0.0003	-0.0023999	0.000237585	0
15	0.0056745522394	-0.0002	-0.0025	0.000250401	0
16	0.00581017689014	-0.0003	-0.0025999	0.000267448	0
0	0.0	0.0007	-0.001	0.00035459	0
1	0.000205431699137	0.001	-0.0010999	0.000355544	0
2	0.000342690058021	0.0009	-0.0011999	0.000341894	0
3	0.000565659630468	0.0007	-0.0013	0.000313165	0.00351579729212
4	0.000771039730861	0.001	-0.0014	0.000290753	0.00354476873156
5	0.00219314071329	-0.0006	-0.0014999	0.000286939	0.00350506486574
6	0.00224473945735	-0.0006	-0.0015999	0.000277938	0
7	0.00229633820142	-0.0006	-0.0016999	0.000258865	0
8	0.00284430516234	0.0001	-0.0018	0.000248613	0
9	0.00289585230766	0.0001	-0.0018999	0.000248017	0
10	0.00397536642956	-0.0011	-0.0019999	0.000244262	0
11	0.00400942730031	-0.001	-0.0020999	0.000235499	0.00409928737223
12	0.0044037161024	-0.0014	-0.0022	0.000217916	0
13	0.00538008433491	-0.0002	-0.0022999	0.000234486	0.00378127444262
14	0.00551734269379	-0.0003	-0.0023999	0.000237585	0
15	0.0055513519658	-0.0002	-0.0025	0.000250401	0
16	0.00568855872594	-0.0003	-0.0025999	0.000267448	0
17	0.00574015747001	-0.0003	-0.0026999	0.000250937	0
0	0.0	0.0007	-0.001	0.00035459	0
1	0.000193273539965	0.001	-0.0010999	0.000355544	0
2	0.000332050520543	0.0009	-0.0011999	0.000341894	0
3	0.000553881964979	0.0007	-0.0013	0.000313165	0.00351579729212
4	0.000747099726649	0.001	-0.0014	0.000290753	0.00354476873156
5	0.00213080121236	-0.0006	-0.0014999	0.000286939	0.00350506486574
6	0.00218657950738	-0.0006	-0.0015999	0.000277938	0
7	0.0022423578024	-0.0006	-0.0016999	0.000258865	0
8	0.00276751452802	0.0001	-0.0018	0.000248613	0
9	0.00282323704474	0.0001	-0.0018999	0.000248017	0
10	0.0038749995665	-0.0011	-0.0019999	0.000244262	0
11	0.00390221995705	-0.001	-0.0020999	0.000235499	0.00409928737223
12	0.00429004877261	-0.0014	-0.0022	0.000217916	0
13	0.00523031048263	-0.0002	-0.0022999	0.000234486	0.00378127444262
14	0.00536908746321	-0.0003	-0.0023999	0.000237585	0
15	0.00539625207546	-0.0002	-0.0025	0.000250401	0
16	0.00553497327775	-0.0003	-0.0025999	0.000267448	0
17	0.00559075157276	-0.0003	-0.0026999	0.000250937	0
18	0.00572952855334	-0.0004	-0.0027999	0.000228942	0
0	0.0	0.0007	-0.001	0.00035459	0
1	0.000179792551275	0.001	-0.0010999	0.000355544	0
2	0.000319813049196	0.0009	-0.0011999	0.000341894	0
3	0.000539831871107	0.0007	-0.0013	0.000313165	0.00351579729212
4	0.000719564340126	0.001	-0.0014	0.000290753	0.00354476873156
5	0.00205859838181	-0.0006	-0.0014999	0.000286939	0.00350506486574
