Your edit line - do NOT delete this line
Wavelength [nm], Voltage [mV], Raw output [bit step], Elapsed time [s]
900.0	557.184750733	114	8.0
910.0	630.498533724	129	11.2190001011
920.0	703.812316716	144	14.4379999638
930.0	777.126099707	159	17.6570000648
940.0	869.990224829	178	20.8599998951
950.0	957.966764418	196	24.0629999638
960.0	1045.94330401	214	27.2660000324
970.0	1138.80742913	233	30.4690001011
980.0	1226.78396872	251	33.6719999313
990.0	1329.42326491	272	36.875
1000.0	1441.83773216	295	40.0789999962
1010.0	1524.92668622	312	43.2820000648
1020.0	1647.11632454	337	46.4849998951
1030.0	1754.64320626	359	49.6879999638
1040.0	1867.05767351	382	52.8910000324
1050.0	1969.6969697	403	56.0940001011
1060.0	2077.22385142	425	59.2969999313
1070.0	2199.41348974	450	62.5
1080.0	2292.27761486	469	65.7039999962
1090.0	2394.91691105	490	68.8910000324
1100.0	2492.6686217	510	72.0940001011
1110.0	2580.64516129	528	75.2820000648
1120.0	2668.62170088	546	78.4690001011
1130.0	2737.04789834	560	81.6570000648
1140.0	2810.36168133	575	84.8440001011
1150.0	2869.01270772	587	88.0320000648
1160.0	2922.77614858	598	91.2190001011
1170.0	2981.42717498	610	94.4070000648
1180.0	3025.41544477	619	97.5940001011
1190.0	3059.6285435	626	100.782000065
1200.0	3093.84164223	633	103.969000101
1210.0	3123.16715543	639	107.157000065
1220.0	3147.60508309	644	110.359999895
1230.0	3167.15542522	648	113.546999931
1240.0	3191.59335288	653	116.734999895
1250.0	3211.14369501	657	119.921999931
1260.0	3220.91886608	659	123.109999895
1270.0	3235.58162268	662	126.296999931
1280.0	3225.80645161	660	129.484999895
1290.0	3211.14369501	657	132.671999931
1300.0	3191.59335288	653	135.859999895
1310.0	3147.60508309	644	139.046999931
1320.0	3064.51612903	627	142.234999895
1330.0	2961.87683284	606	145.421999931
1340.0	2839.68719453	581	148.609999895
1350.0	2707.72238514	554	151.796999931
1360.0	2575.75757576	527	154.984999895
1370.0	2463.3431085	504	158.171999931
1380.0	2365.59139785	484	161.359999895
1390.0	2272.72727273	465	164.546999931
1400.0	2199.41348974	450	167.734999895
