Your edit line - do NOT delete this line
Wavelength [nm], Voltage [mV], Raw output [bit step], Elapsed time [s]
900.0	185.728250244	38	6.98399996758
910.0	337.24340176	69	10.2029998302
920.0	474.095796676	97	13.4219999313
930.0	596.285434995	122	16.6399998665
940.0	708.699902248	145	19.8429999352
950.0	811.339198436	166	23.0469999313
960.0	913.978494624	187	26.25
970.0	1011.73020528	207	29.4529998302
980.0	1104.5943304	226	32.6559998989
990.0	1192.57086999	244	35.8589999676
1000.0	1280.54740958	262	39.0620000362
1010.0	1368.52394917	280	42.2649998665
1020.0	1451.61290323	297	45.4679999352
1030.0	1534.70185728	314	48.6719999313
1040.0	1617.79081134	331	51.875
1050.0	1705.76735093	349	55.0779998302
1060.0	1788.85630499	366	58.2809998989
1070.0	1867.05767351	382	61.4679999352
1080.0	1950.14662757	399	64.6559998989
1090.0	2028.34799609	415	67.8429999352
1100.0	2101.66177908	430	71.0309998989
1110.0	2170.08797654	444	74.2179999352
1120.0	2238.514174	458	77.4059998989
1130.0	2302.05278592	471	80.5929999352
1140.0	2365.59139785	484	83.7809998989
1150.0	2424.24242424	496	86.9679999352
1160.0	2478.0058651	507	90.1559998989
1170.0	2526.88172043	517	93.3429999352
1180.0	2570.86999022	526	96.5309998989
1190.0	2605.08308895	533	99.7179999352
1200.0	2639.29618768	540	102.905999899
1210.0	2673.50928641	547	106.092999935
1220.0	2702.83479961	553	109.280999899
1230.0	2727.27272727	558	112.467999935
1240.0	2746.8230694	562	115.655999899
1250.0	2766.37341153	566	118.842999935
1260.0	2781.03616813	569	122.030999899
1270.0	2800.58651026	573	125.217999935
1280.0	2810.36168133	575	128.405999899
1290.0	2820.13685239	577	131.592999935
1300.0	2825.02443793	578	134.780999899
1310.0	2820.13685239	577	137.967999935
1320.0	2810.36168133	575	141.155999899
1330.0	2781.03616813	569	144.342999935
1340.0	2737.04789834	560	147.530999899
1350.0	2683.28445748	549	150.717999935
1360.0	2609.97067449	534	153.905999899
1370.0	2531.76930596	518	157.092999935
1380.0	2438.90518084	499	160.280999899
1390.0	2350.92864125	481	163.467999935
1400.0	2267.83968719	464	166.655999899
