Your comment line - do NOT delete this line
Col 0: X-pos [m]
Col 1: Y-pos [m]
Col 2: Voltage [V]

Col 0		Col 1		Col 2
0.0305		0.00245		0.0
0.03055		0.00245		0.0
0.0306		0.00245		0.0
0.03065		0.00245		0.0
0.0307		0.00245		0.0
0.03075		0.00245		0.0
0.0308		0.00245		0.0
0.03085		0.00245		0.0
0.0309		0.00245		0.0
0.03095		0.00245		6.10356e-05
0.031		0.00245		6.10356e-05
0.03105		0.00245		6.10356e-05
0.0311		0.00245		6.10356e-05
0.03115		0.00245		6.10356e-05
0.0312		0.00245		0.000122071
0.03125		0.00245		0.000244142
0.0313		0.00245		0.000488285
0.03135		0.00245		0.00115968
0.0314		0.00245		0.00384523
0.03145		0.00245		0.0140992
0.0315		0.00245		0.0319827
0.03155		0.00245		0.0564578
0.0316		0.00245		0.0863652
0.03165		0.00245		0.1167
0.0317		0.00245		0.145936
0.03175		0.00245		0.167787
0.0318		0.00245		0.173219
0.03185		0.00245		0.161805
0.0319		0.00245		0.132508
0.03195		0.00245		0.096314
0.032		0.00245		0.0624392
0.03205		0.00245		0.0355837
0.0321		0.00245		0.015442
0.03215		0.00245		0.00494388
0.0322		0.00245		0.00152589
0.03225		0.00245		0.000610355
0.0323		0.00245		0.000305178
0.03235		0.00245		0.000122071
0.0324		0.00245		6.10356e-05
0.03245		0.00245		6.10356e-05
0.0325		0.00245		6.10356e-05
0.03255		0.00245		6.10356e-05
0.0326		0.00245		6.10356e-05
0.03265		0.00245		0.0
0.0327		0.00245		0.0
0.03275		0.00245		0.0
0.0328		0.00245		0.0
0.03285		0.00245		0.0
0.0329		0.00245		0.0
0.03295		0.00245		0.0
0.033		0.00245		0.0
0.033		0.0022501		0.0
0.03295		0.0022501		0.0
0.0329		0.0022501		0.0
0.03285		0.0022501		0.0
0.0328		0.0022501		0.0
0.03275		0.0022501		0.0
0.0327		0.0022501		0.0
0.03265		0.0022501		0.0
0.0326		0.0022501		0.0
0.03255		0.0022501		6.10356e-05
0.0325		0.0022501		6.10356e-05
0.03245		0.0022501		6.10356e-05
0.0324		0.0022501		6.10356e-05
0.03235		0.0022501		6.10356e-05
0.0323		0.0022501		0.000122071
0.03225		0.0022501		0.000183106
0.0322		0.0022501		0.000427248
0.03215		0.0022501		0.000793461
0.0321		0.0022501		0.00207521
0.03205		0.0022501		0.00451663
0.032		0.0022501		0.00939947
0.03195		0.0022501		0.0173951
0.0319		0.0022501		0.0269166
0.03185		0.0022501		0.0352175
0.0318		0.0022501		0.0405886
0.03175		0.0022501		0.0419314
0.0317		0.0022501		0.0391848
0.03165		0.0022501		0.0316775
0.0316		0.0022501		0.0234987
0.03155		0.0022501		0.0141602
0.0315		0.0022501		0.00750735
0.03145		0.0022501		0.00341798
0.0314		0.0022501		0.00146485
0.03135		0.0022501		0.000610355
0.0313		0.0022501		0.000244142
0.03125		0.0022501		0.000122071
0.0312		0.0022501		6.10356e-05
0.03115		0.0022501		6.10356e-05
0.0311		0.0022501		6.10356e-05
0.03105		0.0022501		6.10356e-05
0.031		0.0022501		6.10356e-05
0.03095		0.0022501		0.0
0.0309		0.0022501		0.0
0.03085		0.0022501		0.0
0.0308		0.0022501		0.0
0.03075		0.0022501		0.0
0.0307		0.0022501		0.0
0.03065		0.0022501		0.0
0.0306		0.0022501		0.0
0.03055		0.0022501		0.0
0.0305		0.0022501		0.0
0.0305		0.0020501		0.0
0.03055		0.0020501		0.0
0.0306		0.0020501		0.0
0.03065		0.0020501		0.0
0.0307		0.0020501		0.0
0.03075		0.0020501		0.0
0.0308		0.0020501		0.0
0.03085		0.0020501		0.0
0.0309		0.0020501		0.0
0.03095		0.0020501		0.0
0.031		0.0020501		0.0
0.03105		0.0020501		0.0
0.0311		0.0020501		6.10356e-05
0.03115		0.0020501		6.10356e-05
0.0312		0.0020501		6.10356e-05
0.03125		0.0020501		6.10356e-05
0.0313		0.0020501		0.000183106
0.03135		0.0020501		0.000488285
0.0314		0.0020501		0.00115968
0.03145		0.0020501		0.00231935
0.0315		0.0020501		0.00408939
0.03155		0.0020501		0.00634769
0.0316		0.0020501		0.00885016
0.03165		0.0020501		0.0112916
0.0317		0.0020501		0.0134888
0.03175		0.0020501		0.0148316
0.0318		0.0020501		0.0145264
0.03185		0.0020501		0.0127564
0.0319		0.0020501		0.0101319
0.03195		0.0020501		0.00738528
0.032		0.0020501		0.00482181
0.03205		0.0020501		0.00268556
0.0321		0.0020501		0.00128175
0.03215		0.0020501		0.00054932
0.0322		0.0020501		0.000183106
0.03225		0.0020501		0.000122071
0.0323		0.0020501		6.10356e-05
0.03235		0.0020501		6.10356e-05
0.0324		0.0020501		6.10356e-05
0.03245		0.0020501		6.10356e-05
0.0325		0.0020501		6.10356e-05
0.03255		0.0020501		0.0
0.0326		0.0020501		0.0
0.03265		0.0020501		0.0
0.0327		0.0020501		0.0
0.03275		0.0020501		0.0
0.0328		0.0020501		0.0
0.03285		0.0020501		0.0
0.0329		0.0020501		0.0
0.03295		0.0020501		0.0
0.033		0.0020501		0.0
0.033		0.0018501		0.0
0.03295		0.0018501		0.0
0.0329		0.0018501		0.0
0.03285		0.0018501		0.0
0.0328		0.0018501		0.0
0.03275		0.0018501		0.0
0.0327		0.0018501		0.0
0.03265		0.0018501		0.0
0.0326		0.0018501		0.0
0.03255		0.0018501		0.0
0.0325		0.0018501		0.0
0.03245		0.0018501		0.0
0.0324		0.0018501		0.0
0.03235		0.0018501		6.10356e-05
0.0323		0.0018501		6.10356e-05
0.03225		0.0018501		6.10356e-05
0.0322		0.0018501		0.000122071
0.03215		0.0018501		0.000183106
0.0321		0.0018501		0.00054932
0.03205		0.0018501		0.00128175
0.032		0.0018501		0.0027466
0.03195		0.0018501		0.00439456
0.0319		0.0018501		0.00592044
0.03185		0.0018501		0.00744632
0.0318		0.0018501		0.00860602
0.03175		0.0018501		0.00915533
0.0317		0.0018501		0.00891119
0.03165		0.0018501		0.00775149
0.0316		0.0018501		0.00598148
0.03155		0.0018501		0.00415042
0.0315		0.0018501		0.00271608
0.03145		0.0018501		0.00162507
0.0314		0.0018501		0.000885013
0.03135		0.0018501		0.000434877
0.0313		0.0018501		0.000183106
0.03125		0.0018501		8.01091e-05
0.0312		0.0018501		4.95913e-05
0.03115		0.0018501		4.57766e-05
0.0311		0.0018501		3.43325e-05
0.03105		0.0018501		3.05178e-05
0.031		0.0018501		2.6703e-05
0.03095		0.0018501		2.6703e-05
0.0309		0.0018501		2.28883e-05
0.03085		0.0018501		2.28883e-05
0.0308		0.0018501		2.28883e-05
0.03075		0.0018501		2.28883e-05
0.0307		0.0018501		2.28883e-05
0.03065		0.0018501		2.6703e-05
0.0306		0.0018501		2.28883e-05
0.03055		0.0018501		2.28883e-05
0.0305		0.0018501		2.28883e-05
0.0305		0.0016501		2.6703e-05
0.03055		0.0016501		2.6703e-05
0.0306		0.0016501		2.6703e-05
0.03065		0.0016501		2.6703e-05
0.0307		0.0016501		2.28883e-05
0.03075		0.0016501		2.28883e-05
0.0308		0.0016501		2.6703e-05
0.03085		0.0016501		2.6703e-05
0.0309		0.0016501		2.6703e-05
0.03095		0.0016501		2.6703e-05
0.031		0.0016501		2.6703e-05
0.03105		0.0016501		2.6703e-05
0.0311		0.0016501		2.6703e-05
0.03115		0.0016501		3.05178e-05
0.0312		0.0016501		3.81472e-05
0.03125		0.0016501		4.76839e-05
0.0313		0.0016501		9.15532e-05
0.03135		0.0016501		0.000221253
0.0314		0.0016501		0.000442507
0.03145		0.0016501		0.000791553
0.0315		0.0016501		0.00126649
0.03155		0.0016501		0.0019436
0.0316		0.0016501		0.00279047
0.03165		0.0016501		0.00366212
0.0317		0.0016501		0.00437167
0.03175		0.0016501		0.00459483
0.0318		0.0016501		0.00441173
0.03185		0.0016501		0.0039387
0.0319		0.0016501		0.00325395
0.03195		0.0016501		0.00248148
0.032		0.0016501		0.00160981
0.03205		0.0016501		0.000791553
0.0321		0.0016501		0.000352861
0.03215		0.0016501		0.000158311
0.0322		0.0016501		8.20165e-05
0.03225		0.0016501		5.72207e-05
0.0323		0.0016501		4.76839e-05
0.03235		0.0016501		4.00546e-05
0.0324		0.0016501		3.81472e-05
0.03245		0.0016501		3.62399e-05
0.0325		0.0016501		3.43325e-05
0.03255		0.0016501		3.43325e-05
0.0326		0.0016501		3.62399e-05
0.03265		0.0016501		3.81472e-05
0.0327		0.0016501		3.81472e-05
0.03275		0.0016501		3.81472e-05
0.0328		0.0016501		3.81472e-05
0.03285		0.0016501		3.81472e-05
0.0329		0.0016501		4.00546e-05
0.03295		0.0016501		4.19619e-05
0.033		0.0016501		4.19619e-05
0.033		0.0014501		3.81472e-05
0.03295		0.0014501		4.00546e-05
0.0329		0.0014501		4.00546e-05
0.03285		0.0014501		3.81472e-05
0.0328		0.0014501		3.81472e-05
0.03275		0.0014501		4.00546e-05
0.0327		0.0014501		4.00546e-05
0.03265		0.0014501		4.00546e-05
0.0326		0.0014501		3.81472e-05
0.03255		0.0014501		3.81472e-05
0.0325		0.0014501		3.81472e-05
0.03245		0.0014501		3.81472e-05
0.0324		0.0014501		4.00546e-05
0.03235		0.0014501		4.00546e-05
0.0323		0.0014501		4.00546e-05
0.03225		0.0014501		4.57766e-05
0.0322		0.0014501		5.9128e-05
0.03215		0.0014501		9.91826e-05
0.0321		0.0014501		0.000205995
0.03205		0.0014501		0.000465395
0.032		0.0014501		0.00092316
0.03195		0.0014501		0.00138093
0.0319		0.0014501		0.00180054
0.03185		0.0014501		0.00218011
0.0318		0.0014501		0.00249101
0.03175		0.0014501		0.00264551
0.0317		0.0014501		0.00250246
0.03165		0.0014501		0.00210001
0.0316		0.0014501		0.00160599
0.03155		0.0014501		0.00112725
0.0315		0.0014501		0.000764851
0.03145		0.0014501		0.000484468
0.0314		0.0014501		0.000284197
0.03135		0.0014501		0.000152589
0.0313		0.0014501		6.8665e-05
0.03125		0.0014501		4.00546e-05
0.0312		0.0014501		3.43325e-05
0.03115		0.0014501		3.24252e-05
0.0311		0.0014501		3.24252e-05
0.03105		0.0014501		3.05178e-05
0.031		0.0014501		2.86103e-05
0.03095		0.0014501		2.6703e-05
0.0309		0.0014501		2.6703e-05
0.03085		0.0014501		2.86103e-05
0.0308		0.0014501		3.05178e-05
0.03075		0.0014501		2.86103e-05
0.0307		0.0014501		2.86103e-05
0.03065		0.0014501		2.86103e-05
0.0306		0.0014501		2.86103e-05
0.03055		0.0014501		2.6703e-05
0.0305		0.0014501		2.86103e-05
0.0305		0.0012501		2.86103e-05
0.03055		0.0012501		2.86103e-05
0.0306		0.0012501		2.6703e-05
0.03065		0.0012501		2.6703e-05
0.0307		0.0012501		2.86103e-05
0.03075		0.0012501		3.05178e-05
0.0308		0.0012501		3.05178e-05
0.03085		0.0012501		2.86103e-05
0.0309		0.0012501		2.86103e-05
