Your comment line - do NOT delete this line
Col 0: X-pos [m]
Col 1: Y-pos [m]
Col 2: Voltage [V]
Col 0	Col 1	Col 2
0.001	0.001	3.72531e-08
0.00075	0.001	-7.45064e-09
0.0005	0.001	-1.04309e-07
0.00025	0.001	7.45064e-09
0.0	0.001	-6.70557e-08
-0.00025	0.001	-2.23519e-08
-0.0005	0.001	-6.70557e-08
-0.00075	0.001	-3.72531e-08
-0.001	0.001	-9.6858e-08
0.0	0.0007501	-3.72531e-08
0.00025	0.0007501	-5.21543e-08
0.0005	0.0007501	-1.49013e-08
0.00075	0.0007501	1.49013e-08
0.001	0.0007501	-6.70557e-08
0.00125	0.0007501	1.49013e-08
0.0015	0.0007501	-1.11759e-07
0.00175	0.0007501	-4.47037e-08
0.002	0.0007501	-4.47037e-08
0.00175	0.0005001	0.0
0.0015	0.0005001	4.47037e-08
0.00125	0.0005001	8.19568e-08
0.001	0.0005001	-7.45064e-09
0.00075	0.0005001	-1.11759e-07
0.0005	0.0005001	0.0
0.00025	0.0005001	-1.49013e-07
0.0	0.0005001	1.56463e-07
-0.00025	0.0005001	-1.93716e-07
-0.001	0.0002501	3.20377e-07
-0.00075	0.0002501	2.98025e-08
-0.0005	0.0002501	-4.24685e-07
-0.00025	0.0002501	3.79981e-07
0.0	0.0002501	-4.32135e-07
0.00025	0.0002501	4.39586e-07
0.0005	0.0002501	-3.35278e-07
0.00075	0.0002501	-8.94074e-08
0.001	0.0002501	8.94074e-08
0.00125	1e-07	-7.45063e-08
0.001	1e-07	-8.94074e-08
0.00075	1e-07	-1.34111e-07
0.0005	1e-07	5.96051e-08
0.00025	1e-07	1.49013e-08
0.0	1e-07	-8.94074e-08
-0.00025	1e-07	-8.94074e-08
-0.0005	1e-07	-3.72531e-08
-0.00075	1e-07	3.72531e-08
-0.0005	-0.0002499	2.98025e-08
-0.00025	-0.0002499	-1.1921e-07
0.0	-0.0002499	7.45064e-09
0.00025	-0.0002499	-2.98025e-08
0.0005	-0.0002499	-7.45063e-08
0.00075	-0.0002499	-9.6858e-08
0.001	-0.0002499	-1.56463e-07
0.00125	-0.0002499	-1.04309e-07
0.0015	-0.0002499	-1.11759e-07
0.0005	-0.0005	2.3842e-07
0.00025	-0.0005	2.98025e-07
0.0	-0.0005	4.99193e-07
-0.00025	-0.0005	-2.68223e-07
