Your comment line - do NOT delete this line
Col 0: Axis index
Col 1: S_path [m]
Col 2: Max voltage X-pos[m]
Col 3: Max voltage Y-pos[m]
Col 4: Max voltage [V]
Col 5: Full width half maximum (FWHM) [m]

Col 0	Col 1			Col 2	Col 3	Col 4	Col 5
0	0			0.0005	9.99e-05	3.27827e-07	0.00144563555159
0	0.0			0.0005	9.99e-05	3.27827e-07	0.00144563555159
1	0.000502483840536			0.001	5e-05	2.45871e-07	-0.000153714222136
0	0.0			0.0005	9.99e-05	3.27827e-07	0.00144563555159
1	0.000502483838073			0.001	5e-05	2.45871e-07	-0.000153714222136
2	0.00100497761667			0.0015	0.0	2.75673e-07	0.000928744536796
0	0.0			0.0005	9.99e-05	3.27827e-07	0.00144563555159
1	0.000500835674132			0.001	5e-05	2.45871e-07	-0.000153714222136
2	0.00100167319358			0.0015	0.0	2.75673e-07	0.000928744536796
3	0.00200058026409			0.0005	-5e-05	3.50179e-07	0.000191580089669
0	0.0			0.0005	9.99e-05	3.27827e-07	0.00144563555159
1	0.000496327644183			0.001	5e-05	2.45871e-07	-0.000153714222136
2	0.000992649569071			0.0015	0.0	2.75673e-07	0.000928744536796
3	0.00199387236021			0.0005	-5e-05	3.50179e-07	0.000191580089669
4	0.00299509515135			-0.0005	-0.0001	2.83124e-07	0.000303400494725
