Your edit line - do NOT delete this line
Outpl ang.[dg], B[row,column], Bvals(1023=5V), M[row,column], Mvals
45.0	B[1,1]	88	M[1,1]	1370.24078778
45.0	B[2,1]	85	M[2,1]	-14538.4962019
45.0	B[2,2]	82	M[2,2]	9505.29000335
45.0	B[1,2]	82	M[1,2]	3653.66565088
45.0	B[1,3]	79	M[1,3]	3465.7344091
45.0	B[2,3]	81	M[2,3]	-1756.3422972
45.0	B[3,3]	85	M[3,3]	31586.7905991
45.0	B[3,2]	80	M[3,2]	7782.81810037
45.0	B[3,1]	78	M[3,1]	-10906.1026823
45.0	B[3,0]	88	M[3,0]	-6411.37740771
45.0	B[2,0]	84	M[2,0]	-8183.88752756
45.0	B[1,0]	85	M[1,0]	2805.58039345
45.0	B[0,0]	81	M[0,0]	-1287.71593055
45.0	B[0,1]	83	M[0,1]	-5562.44694159
45.0	B[0,2]	86	M[0,2]	7754.10946626
45.0	B[0,3]	80	M[0,3]	2163.16739723
