Your edit line - do NOT delete this line
Elapsed time [s], Sampl ang. [dg], In pl ang. [dg], M[row,column], Voltage [V]
17.6122210026	60.0	40.0	M[1,1]	0.0664711632454
20.9748771191	60.0	40.0	M[2,1]	0.0615835777126
24.2923951149	60.0	40.0	M[2,2]	0.0615835777126
27.6592950821	60.0	40.0	M[1,2]	0.0596285434995
31.4477989674	60.0	40.0	M[1,3]	0.0615835777126
34.8065910339	60.0	40.0	M[2,3]	0.058651026393
38.5091280937	60.0	40.0	M[3,3]	0.0566959921799
42.1707320213	60.0	40.0	M[3,2]	0.0615835777126
45.5375721455	60.0	40.0	M[3,1]	0.0645161290323
49.2688319683	60.0	40.0	M[3,0]	0.0596285434995
52.9346370697	60.0	40.0	M[2,0]	0.0606060606061
56.2768130302	60.0	40.0	M[1,0]	0.058651026393
60.0367460251	60.0	40.0	M[0,0]	0.0635386119257
63.706674099	60.0	40.0	M[0,1]	0.0615835777126
67.0159871578	60.0	40.0	M[0,2]	0.0596285434995
70.9398920536	60.0	40.0	M[0,3]	0.0635386119257
79.0578551292	61.0	40.0	M[1,1]	0.0625610948192
82.3999869823	61.0	40.0	M[2,1]	0.0615835777126
85.7258160114	61.0	40.0	M[2,2]	0.0606060606061
89.0679399967	61.0	40.0	M[1,2]	0.0596285434995
92.9795701504	61.0	40.0	M[1,3]	0.0615835777126
96.3831779957	61.0	40.0	M[2,3]	0.0606060606061
100.048933029	61.0	40.0	M[3,3]	0.0625610948192
103.751679182	61.0	40.0	M[3,2]	0.0615835777126
107.155117035	61.0	40.0	M[3,1]	0.0615835777126
