Your edit line - do NOT delete this line
Sampl ang.[dg], B[row,column], Bvals(1023=5V), M[row,column], Mvals
20.0	B[1,1]	82	M[1,1]	311.333090092
20.0	B[2,1]	0	M[2,1]	588.678776126
20.0	B[2,2]	0	M[2,2]	-770.732003613
20.0	B[1,2]	0	M[1,2]	-407.61513078
20.0	B[1,3]	0	M[1,3]	-263.393834316
20.0	B[2,3]	0	M[2,3]	-498.033665418
20.0	B[3,3]	0	M[3,3]	-190.289004272
20.0	B[3,2]	0	M[3,2]	-294.481750355
20.0	B[3,1]	0	M[3,1]	224.922743026
20.0	B[3,0]	0	M[3,0]	-153.156317206
20.0	B[2,0]	0	M[2,0]	-400.848185273
20.0	B[1,0]	0	M[1,0]	-211.995589513
20.0	B[0,0]	0	M[0,0]	-357.467698111
20.0	B[0,1]	0	M[0,1]	524.970936029
20.0	B[0,2]	0	M[0,2]	-687.322046885
20.0	B[0,3]	0	M[0,3]	-444.135596716
