Your edit line - do NOT delete this line
Wavelength [nm], Voltage [mV], Raw output [bit step], Elapsed time [s]
1750	112.414467253	23	22.9850001335
1755	136.852394917	28	26.4070000648
1760	171.065493646	35	29.8280000687
1765	205.278592375	42	33.25
1770	234.604105572	48	36.6720001698
1775	263.929618768	54	40.1100001335
1780	298.142717498	61	43.5320000648
1785	327.468230694	67	46.9530000687
1790	356.793743891	73	50.375
1795	391.00684262	80	53.7970001698
1800	425.219941349	87	57.2190001011
1805	454.545454545	93	60.6410000324
1810	493.646138807	101	64.0629999638
1815	527.859237537	108	67.4850001335
1820	562.072336266	115	70.9070000648
1825	596.285434995	122	74.3280000687
1830	635.386119257	130	77.75
1835	669.599217986	137	81.1720001698
1840	708.699902248	145	84.5940001011
1845	742.913000978	152	88.0160000324
1850	782.013685239	160	91.4379999638
1855	821.114369501	168	94.8600001335
1860	860.215053763	176	98.2820000648
1865	894.428152493	183	101.703000069
1870	933.528836755	191	105.125
1875	967.741935484	198	108.54700017
1880	1001.95503421	205	111.969000101
1885	1026.39296188	210	115.391000032
1890	1060.60606061	217	118.812999964
1895	1085.04398827	222	122.235000134
1900	1109.48191593	227	125.657000065
1905	1138.80742913	233	129.078000069
1910	1163.24535679	238	132.5
1915	1182.79569892	242	135.92200017
1920	1202.34604106	246	139.344000101
1925	1221.89638319	250	142.766000032
1930	1241.44672532	254	146.187999964
1935	1260.99706745	258	149.610000134
1940	1280.54740958	262	153.032000065
1945	1295.21016618	265	156.453000069
1950	1314.76050831	269	159.875
1955	1334.31085044	273	163.29700017
1960	1348.97360704	276	166.719000101
1965	1373.4115347	281	170.141000032
1970	1388.0742913	284	173.562999964
1975	1407.62463343	288	176.985000134
1980	1427.17497556	292	180.407000065
1985	1451.61290323	297	183.828000069
1990	1471.16324536	301	187.25
1995	1495.60117302	306	190.67200017
2000	1520.03910068	311	194.094000101
2005	1544.47702835	316	197.516000032
2010	1568.91495601	321	200.937999964
2015	1598.24046921	327	204.360000134
2020	1627.5659824	333	207.782000065
2025	1661.77908113	340	211.203000069
2030	1695.99217986	347	214.625
2035	1730.20527859	354	218.04700017
2040	1764.41837732	361	221.469000101
2045	1793.74389052	367	224.891000032
2050	1827.95698925	374	228.312999964
2055	1862.17008798	381	231.735000134
2060	1901.27077224	389	235.157000065
2065	1935.48387097	396	238.578000069
2070	1974.58455523	404	242.0
2075	2013.68523949	412	245.42200017
2080	2047.89833822	419	248.844000101
2085	2086.99902248	427	252.266000032
2090	2121.21212121	434	255.703000069
2095	2160.31280547	442	259.141000032
2100	2199.41348974	450	262.562999964
2105	2238.514174	458	266.0
2110	2277.61485826	466	269.437999964
2115	2316.71554252	474	272.875
2120	2360.70381232	483	276.312999964
2125	2404.69208211	492	279.75
2130	2443.79276637	500	283.187999964
2135	2487.78103617	509	286.625
2140	2531.76930596	518	290.062999964
2145	2580.64516129	528	293.5
2150	2629.52101662	538	296.937999964
2155	2683.28445748	549	300.375
2160	2746.8230694	562	303.812999964
2165	2810.36168133	575	307.25
2170	2878.78787879	589	310.687999964
2175	2952.10166178	604	314.125
2180	3030.3030303	620	317.562999964
2185	3103.61681329	635	321.0
2190	3176.93059629	650	324.437999964
2195	3245.35679374	664	327.875
2200	3313.7829912	678	331.328000069
2205	3377.32160313	691	334.766000032
2210	3435.97262952	703	338.203000069
2215	3494.62365591	715	341.657000065
2220	3543.49951124	725	345.110000134
2225	3587.48778104	734	348.562999964
2230	3631.47605083	743	352.016000032
2235	3660.80156403	749	355.469000101
2240	3690.12707722	755	358.92200017
2245	3714.56500489	760	362.375
2250	3729.22776149	763	365.828000069
2255	3743.89051808	766	369.282000065
2260	3743.89051808	766	372.735000134
2265	3743.89051808	766	376.187999964
2270	3739.00293255	765	379.641000032
2275	3729.22776149	763	383.094000101
2280	3719.45259042	761	386.54700017
2285	3704.78983382	758	390.0
2290	3690.12707722	755	393.453000069
2295	3680.35190616	753	396.907000065
2300	3665.68914956	750	400.360000134
2305	3651.02639296	747	403.812999964
2310	3641.2512219	745	407.266000032
2315	3626.5884653	742	410.719000101
2320	3616.81329423	740	414.17200017
2325	3611.9257087	739	417.625
2330	3602.15053763	737	421.078000069
2335	3597.2629521	736	424.532000065
2340	3592.37536657	735	427.985000134
2345	3592.37536657	735	431.437999964
2350	3592.37536657	735	434.891000032
2355	3597.2629521	736	438.344000101
2360	3597.2629521	736	441.79700017
2365	3602.15053763	737	445.25
2370	3607.03812317	738	448.703000069
2375	3616.81329423	740	452.157000065
2380	3626.5884653	742	455.610000134
2385	3631.47605083	743	459.062999964
2390	3641.2512219	745	462.516000032
2395	3651.02639296	747	465.969000101
2400	3665.68914956	750	469.42200017
2405	3675.46432063	752	472.875
2410	3690.12707722	755	476.328000069
2415	3699.90224829	757	479.782000065
2420	3714.56500489	760	483.235000134
2425	3724.34017595	762	486.687999964
2430	3739.00293255	765	490.141000032
2435	3748.77810362	767	493.594000101
2440	3763.44086022	770	497.04700017
2445	3773.21603128	772	500.5
2450	3782.99120235	774	503.953000069
2455	3797.65395894	777	507.407000065
2460	3807.42913001	779	510.860000134
2465	3822.09188661	782	514.312999964
2470	3826.97947214	783	517.766000032
2475	3836.75464321	785	521.219000101
2480	3846.52981427	787	524.67200017
2485	3856.30498534	789	528.125
2490	3866.0801564	791	531.578000069
2495	3875.85532747	793	535.032000065
2500	3885.63049853	795	538.485000134
