Column 1: Bølgelængde [nm]
Column 2: Responsivitet +23C [A/W]
Column 3: Responsivitet -30C [A/W]
800	0.06	0.06
900	0.08	0.08
1000	0.12	0.12
1100	0.21	0.21
1200	0.27	0.27
1300	0.32	0.32
1400	0.42	0.42
1500	0.51	0.51
1600	0.63	0.63
1700	0.72	0.72
1800	0.87	0.87
1900	1.0	1.0
2000	1.05	1.05
2100	1.08	1.09
2200	1.09	1.07
2300	1.05	1.0
2400	1.0	0.9
2500	0.86	0.45
2600	0.25	0.06
